LinkedIn,Twitter,Facebook,Industry Groups,Number of Funding Rounds,Closed Date,Last Equity Funding Type,IPO Status,Organization Name,CB Rank (Company),Website,Total Funding Amount,Total Funding Amount Currency,Postal Code,Phone Number,Contact Email,Number of Exits,SEMrush - Global Traffic Rank,city,country,Regions,State,Founded Year 5+,Operating Status (Labeled),Company Type (Labeled),employees counts,Within One Year,Total Funding Amount Preprocessed
1,0,0,"Manufacturing, Science and Engineering, Transportation",1.0,0,Seed,0,JEH Aerospace,사,1,210000000.0,INR,500032,1,1,0.0,오,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,1,1
1,0,0,"Biotechnology, Hardware, Health Care, Manufacturing, Other, Science and Engineering, Transportation",0.0,0,0,0,A-SpaX,오,1,0.0,0,2629HS,1,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,0,0
1,1,0,"Consumer Electronics, Hardware, Real Estate, Science and Engineering, Transportation",0.0,0,0,0,Tao,오,1,0.0,0,0,0,1,0.0,일,,us,Greater Miami Area,Southern US,0,1,1,1.0,0,0
1,0,0,Science and Engineering,0.0,0,0,0,ERETS SPACE,오,1,0.0,0,EC1V2NX,1,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
0,0,0,"Data and Analytics, Design, Health Care, Information Technology, Manufacturing, Other, Transportation",0.0,0,0,0,Inami Space Salon,오,1,0.0,0,104-0061,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,0.0,0,0
1,1,1,"Hardware, Manufacturing, Science and Engineering",2.0,0,Pre-Seed,0,Orbital Matter,사,1,1195000.0,EUR,00819,0,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,1,0
1,0,0,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Software",1.0,0,Pre-Seed,0,CausalTwin,사,1,37500.0,USD,94104,1,1,0.0,일,silicon_valley,us,San Francisco Bay Area,Western US,0,1,1,1.0,0,0
1,0,0,"Consumer Electronics, Consumer Goods, Energy, Hardware, Science and Engineering, Sustainability",0.0,0,0,0,Cellen,오,1,0.0,0,0,0,1,0.0,일,,us,Greater Houston Area,Southern US,0,1,1,1.0,0,0
0,0,0,"Hardware, Information Technology, Internet Services, Science and Engineering, Software, Transportation",0.0,0,0,0,Half Square Group of Companies,오,0,0.0,0,0,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,0,0,"Financial Services, Real Estate, Science and Engineering",0.0,0,0,0,AviLease,사,1,0.0,0,1238,1,1,0.0,일,,,Europe,Middle East,0,1,1,2.0,0,0
